data_base,cnpj_raiz,nome_instituicao,ente_destino,conta,saldo,arquivo,linha_arquivo,sha256_arquivo
202506,13009717,BCO DO EST. DE SE S.A.,Municipios,9090900001,13558538.98,202506BANCOS.CSV,16708,8e19913e741e6805e716b312f57ec772dc822b58f624b08f5423aa992e5c2614
202506,92702067,BCO DO ESTADO DO RS S.A.,Estados e DF,9090800008,10378683442.94,202506BANCOS.CSV,51097,8e19913e741e6805e716b312f57ec772dc822b58f624b08f5423aa992e5c2614
202506,92702067,BCO DO ESTADO DO RS S.A.,Municipios,9090900001,114116701.72,202506BANCOS.CSV,51098,8e19913e741e6805e716b312f57ec772dc822b58f624b08f5423aa992e5c2614
202506,00000208,BRB - BCO DE BRASILIA S.A.,Estados e DF,9090800008,4498816647.28,202506BANCOS.CSV,1079,8e19913e741e6805e716b312f57ec772dc822b58f624b08f5423aa992e5c2614
202506,00000208,BRB - BCO DE BRASILIA S.A.,Municipios,9090900001,1674684479.47,202506BANCOS.CSV,1080,8e19913e741e6805e716b312f57ec772dc822b58f624b08f5423aa992e5c2614
202506,00360305,CAIXA ECONOMICA FEDERAL,Uniao,9090700005,366398848668.05,202506BANCOS.CSV,1666,8e19913e741e6805e716b312f57ec772dc822b58f624b08f5423aa992e5c2614
202506,00360305,CAIXA ECONOMICA FEDERAL,Estados e DF,9090800008,5313685593.39,202506BANCOS.CSV,1667,8e19913e741e6805e716b312f57ec772dc822b58f624b08f5423aa992e5c2614
202506,00360305,CAIXA ECONOMICA FEDERAL,Municipios,9090900001,1043286424.82,202506BANCOS.CSV,1668,8e19913e741e6805e716b312f57ec772dc822b58f624b08f5423aa992e5c2614
202507,28127603,BCO BANESTES S.A.,Municipios,9090900001,479267286.98,202507BANCOS.CSV,20977,d6c4b063a940d729600d3d71fe4be502e63543fc798195102c2de8ec23350106
202507,00000000,BCO DO BRASIL S.A.,Estados e DF,9090800008,60567501608.04,202507BANCOS.CSV,598,d6c4b063a940d729600d3d71fe4be502e63543fc798195102c2de8ec23350106
202507,00000000,BCO DO BRASIL S.A.,Municipios,9090900001,21980870084.03,202507BANCOS.CSV,599,d6c4b063a940d729600d3d71fe4be502e63543fc798195102c2de8ec23350106
202507,13009717,BCO DO EST. DE SE S.A.,Estados e DF,9090800008,213452772.11,202507BANCOS.CSV,16210,d6c4b063a940d729600d3d71fe4be502e63543fc798195102c2de8ec23350106
202507,13009717,BCO DO EST. DE SE S.A.,Municipios,9090900001,13621421.63,202507BANCOS.CSV,16211,d6c4b063a940d729600d3d71fe4be502e63543fc798195102c2de8ec23350106
202507,92702067,BCO DO ESTADO DO RS S.A.,Estados e DF,9090800008,10378683442.94,202507BANCOS.CSV,49246,d6c4b063a940d729600d3d71fe4be502e63543fc798195102c2de8ec23350106
202507,92702067,BCO DO ESTADO DO RS S.A.,Municipios,9090900001,112915327.25,202507BANCOS.CSV,49247,d6c4b063a940d729600d3d71fe4be502e63543fc798195102c2de8ec23350106
