data_base,cnpj_raiz,nome_instituicao,conta,nome_conta,saldo,arquivo,linha_arquivo,sha256_arquivo,fonte
202501,17184037,BCO MERCANTIL DO BRASIL S.A.,8114000008,(-) DESPESAS DE DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS MANTIDOS NA INSTITUIÇÃO,-1394.65,202501BANCOS.CSV,18540,167bcf1231df1601314f6a3a669a5b548a872f383d067e52b47bdfb6a0322479,BCB balancete doc. 4010
202501,90400888,BCO SANTANDER (BRASIL) S.A.,4155000009,DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS MANTIDOS NA INSTITUIÇÃO,128096037.07,202501BANCOS.CSV,48091,167bcf1231df1601314f6a3a669a5b548a872f383d067e52b47bdfb6a0322479,BCB balancete doc. 4010
202501,90400888,BCO SANTANDER (BRASIL) S.A.,8114000008,(-) DESPESAS DE DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS MANTIDOS NA INSTITUIÇÃO,-817463.94,202501BANCOS.CSV,48297,167bcf1231df1601314f6a3a669a5b548a872f383d067e52b47bdfb6a0322479,BCB balancete doc. 4010
202501,00000208,BRB - BCO DE BRASILIA S.A.,4155000009,DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS MANTIDOS NA INSTITUIÇÃO,18144068141.76,202501BANCOS.CSV,841,167bcf1231df1601314f6a3a669a5b548a872f383d067e52b47bdfb6a0322479,BCB balancete doc. 4010
202501,00000208,BRB - BCO DE BRASILIA S.A.,8114000008,(-) DESPESAS DE DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS MANTIDOS NA INSTITUIÇÃO,-97216253.62,202501BANCOS.CSV,972,167bcf1231df1601314f6a3a669a5b548a872f383d067e52b47bdfb6a0322479,BCB balancete doc. 4010
202501,00000208,BRB - BCO DE BRASILIA S.A.,9090800008,DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS REPASSADOS A ESTADOS E DISTRITO FEDERAL,3324124305.48,202501BANCOS.CSV,1051,167bcf1231df1601314f6a3a669a5b548a872f383d067e52b47bdfb6a0322479,BCB balancete doc. 4010
202501,00000208,BRB - BCO DE BRASILIA S.A.,9090900001,DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS REPASSADOS A MUNICÍPIOS,1389522065.65,202501BANCOS.CSV,1052,167bcf1231df1601314f6a3a669a5b548a872f383d067e52b47bdfb6a0322479,BCB balancete doc. 4010
202501,00360305,CAIXA ECONOMICA FEDERAL,4155000009,DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS MANTIDOS NA INSTITUIÇÃO,110358464769.51,202501BANCOS.CSV,1350,167bcf1231df1601314f6a3a669a5b548a872f383d067e52b47bdfb6a0322479,BCB balancete doc. 4010
202501,00360305,CAIXA ECONOMICA FEDERAL,8114000008,(-) DESPESAS DE DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS MANTIDOS NA INSTITUIÇÃO,-859792741.67,202501BANCOS.CSV,1536,167bcf1231df1601314f6a3a669a5b548a872f383d067e52b47bdfb6a0322479,BCB balancete doc. 4010
202501,00360305,CAIXA ECONOMICA FEDERAL,9090700005,DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS REPASSADOS À UNIÃO,352415424080.11,202501BANCOS.CSV,1632,167bcf1231df1601314f6a3a669a5b548a872f383d067e52b47bdfb6a0322479,BCB balancete doc. 4010
202501,00360305,CAIXA ECONOMICA FEDERAL,9090800008,DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS REPASSADOS A ESTADOS E DISTRITO FEDERAL,5228625404.57,202501BANCOS.CSV,1633,167bcf1231df1601314f6a3a669a5b548a872f383d067e52b47bdfb6a0322479,BCB balancete doc. 4010
202501,00360305,CAIXA ECONOMICA FEDERAL,9090900001,DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS REPASSADOS A MUNICÍPIOS,945529165.53,202501BANCOS.CSV,1634,167bcf1231df1601314f6a3a669a5b548a872f383d067e52b47bdfb6a0322479,BCB balancete doc. 4010
202501,62331228,DEUTSCHE BANK S.A.BCO ALEMAO,1899800001,(-) PROVISÃO PARA PERDAS DE CRÉDITO EM RESTITUIÇÃO DE DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS,-125.67,202501BANCOS.CSV,44942,167bcf1231df1601314f6a3a669a5b548a872f383d067e52b47bdfb6a0322479,BCB balancete doc. 4010
